size,recipe,n_train,rate_train,lift_train,n_val,rate_val,lift_val,n_test,rate_test,lift_test,avg_oos_rate,min_oos_rate
4,atr_ratio_q1 & bb_pos_q1 & rsi_14_q1 & sess_london_1,372,0.16129032258064516,1.7635603345280764,174,0.1724137931034483,1.977671878346541,162,0.20987654320987653,2.179578261853767,0.1911451681566624,0.1724137931034483
4,atr_ratio_q1 & bb_pos_q1 & h_2 & rsi_14_q1,256,0.15625,1.708449074074074,116,0.1724137931034483,1.977671878346541,102,0.20588235294117646,2.138098398738903,0.18914807302231237,0.1724137931034483
3,bb_width_q1 & macd_hist_q1 & vol_5_20_q4,203,0.18226600985221675,1.992910052910053,82,0.1951219512195122,2.238145735494622,87,0.1724137931034483,1.7905257526384903,0.18376787216148024,0.1724137931034483
4,atr_14_q1 & bb_width_q1 & macd_hist_q1 & range_20_q1,308,0.17532467532467533,1.917012987012987,128,0.171875,1.971491653726708,140,0.17857142857142858,1.8544731009470077,0.1752232142857143,0.171875
4,bb_pos_q1 & bb_width_q1 & sess_london_1 & vol_5_20_q4,211,0.1943127962085308,2.124630507284536,105,0.17142857142857143,1.9663708961845607,65,0.26153846153846155,2.716089834002387,0.2164835164835165,0.17142857142857143
4,atr_14_q1 & bb_width_q1 & dist_ema200_q1 & rsi_14_q1,108,0.25,2.7335185185185185,70,0.17142857142857143,1.9663708961845607,40,0.225,2.33663610719323,0.19821428571428573,0.17142857142857143
4,bb_pos_q1 & h_2 & macd_hist_q1 & rsi_14_q1,362,0.17955801104972377,1.9633005934110908,174,0.20114942528735633,2.3072838580709645,210,0.17142857142857143,1.7802941769091274,0.18628899835796386,0.17142857142857143
4,bb_pos_q1 & h_2 & macd_hist_q1 & vol_5_20_q4,131,0.20610687022900764,2.2535877862595424,50,0.2,2.2940993788819877,70,0.17142857142857143,1.7802941769091274,0.18571428571428572,0.17142857142857143
4,atr_ratio_q2 & bb_pos_q1 & dist_ema200_q1 & h_2,92,0.1956521739130435,2.1392753623188407,35,0.17142857142857143,1.9663708961845607,32,0.1875,1.9471967559943582,0.17946428571428572,0.17142857142857143
4,atr_14_q1 & bb_width_q1 & dist_ema200_q1 & pos_in_range_20_q1,139,0.26618705035971224,2.9105089261923798,82,0.17073170731707318,1.9583775185577943,58,0.25862068965517243,2.6857886289577357,0.2146761984861228,0.17073170731707318
4,macd_hist_q1 & range_20_q1 & rsi_14_q1 & vol_5_20_q4,62,0.25806451612903225,2.8216965352449224,41,0.17073170731707318,1.9583775185577943,46,0.2391304347826087,2.483381369963819,0.20493107104984093,0.17073170731707318
4,bb_pos_q1 & dist_ema200_q1 & h_2 & rsi_14_q1,245,0.19183673469387755,2.097557067271353,112,0.19642857142857142,2.2531333185448092,123,0.17073170731707318,1.77305720871031,0.1835801393728223,0.17073170731707318
4,macd_hist_q1 & pos_in_range_20_q1 & range_20_q1 & vol_5_20_q4,95,0.16842105263157894,1.8415282651072125,47,0.1702127659574468,1.952425003303819,53,0.20754716981132076,2.1553876041195412,0.18887996788438377,0.1702127659574468
4,bb_pos_q1 & bb_width_q1 & range_20_q1 & sess_overlap_1,198,0.1414141414141414,1.5462326973438085,100,0.17,1.9499844720496895,82,0.21951219512195122,2.2796449826275413,0.19475609756097562,0.17
4,bb_pos_q1 & bb_width_q1 & h_3 & range_20_q1,198,0.1414141414141414,1.5462326973438085,100,0.17,1.9499844720496895,82,0.21951219512195122,2.2796449826275413,0.19475609756097562,0.17
4,h_1 & macd_hist_q1 & pos_in_range_20_q1 & sess_london_1,71,0.19718309859154928,2.156014606155451,28,0.25,2.8676242236024843,53,0.16981132075471697,1.763498948825079,0.20990566037735847,0.16981132075471697
4,atr_ratio_q1 & bb_width_q1 & sess_london_1 & vol_5_20_q2,319,0.14106583072100312,1.5424242424242423,149,0.174496644295302,2.001563216474217,112,0.16964285714285715,1.7617494458996574,0.1720697507190796,0.16964285714285715
4,bb_pos_q1 & bb_width_q1 & dist_ema200_q1 & rsi_14_q1,166,0.20481927710843373,2.2395091477019187,91,0.1978021978021978,2.26888949559757,71,0.16901408450704225,1.7552196110371678,0.18340814115462,0.16901408450704225
4,atr_ratio_q1 & bb_pos_q1 & sess_london_1 & sess_ny_0,461,0.17136659436008678,1.8737350365549934,185,0.1783783783783784,2.04608863521907,160,0.16875,1.7524770803949223,0.1735641891891892,0.16875
4,atr_ratio_q1 & bb_pos_q1 & bb_width_q1 & sess_london_1,296,0.17905405405405406,1.9577902902902904,120,0.19166666666666668,2.198511904761905,101,0.16831683168316833,1.74797860604114,0.1799917491749175,0.16831683168316833
4,bb_width_q1 & pos_in_range_20_q1 & rsi_14_q1 & sess_london_1,257,0.19066147859922178,2.08470673007638,128,0.1796875,2.0611049107142856,107,0.16822429906542055,1.7470176502379287,0.1739558995327103,0.16822429906542055
4,atr_ratio_q1 & bb_pos_q1 & bb_width_q1 & sess_ny_0,391,0.19948849104859334,2.1812219380505824,150,0.17333333333333334,1.9882194616977225,173,0.1676300578034682,1.7408464253976534,0.17048169556840076,0.1676300578034682
4,bb_pos_q1 & macd_hist_q1 & sess_london_1 & sess_ny_0,511,0.18590998043052837,2.0327534971370587,232,0.1939655172413793,2.2248808631398584,299,0.16722408026755853,1.7366303286460274,0.18059479875446893,0.16722408026755853
4,atr_14_q1 & bb_pos_q1 & macd_hist_q1 & vol_5_20_q4,102,0.22549019607843138,2.465526506899056,60,0.16666666666666666,1.911749482401656,52,0.23076923076923078,2.3965498535315177,0.19871794871794873,0.16666666666666666
4,atr_14_q1 & bb_width_q1 & macd_hist_q1 & sess_london_1,257,0.1867704280155642,2.0421616947686987,78,0.16666666666666666,1.911749482401656,84,0.19047619047619047,1.9781046410101415,0.17857142857142855,0.16666666666666666
