symbol,n_weekends,gap_abs_pct_mean,gap_abs_pct_median,gap_abs_pct_std,gap_abs_pct_p75,gap_abs_pct_p90,gap_abs_pct_p95,gap_pct_mean_signed,pct_significant,pct_continuation,pct_fade,pnl_cont_mean_pct,pnl_cont_win_rate_pct,pnl_cont_sharpe,pnl_fade_mean_pct,pnl_fade_win_rate_pct,pnl_fade_sharpe,oracle_edge_pct,best_naive,best_naive_edge_pct,bias_strength
CADCHF,260,0.1791401799038447,0.14733845320471028,0.14748101255810997,0.24651232531731848,0.3569368591043994,0.445043769260763,-0.15635551158987154,48.84615384615385,55.00000000000001,44.61538461538462,0.008272223096504357,55.00000000000001,0.25698585858446565,-0.008272223096504357,44.61538461538462,-0.25698585858446565,0.1791401799038447,continuation,0.008272223096504357,5.000000000000007
AUDJPY,260,0.1782763061843853,0.1318230309145373,0.196369882996051,0.2028629157445128,0.36363855808984824,0.5377953216552617,-0.11077065079611775,43.46153846153846,41.15384615384615,58.46153846153847,-0.043028054554607495,41.15384615384615,-1.1886628133855186,0.043028054554607495,58.46153846153847,1.1886628133855186,0.1782763061843853,fade,0.043028054554607495,8.846153846153847
SGDJPY,260,0.17385365306722184,0.11904119795820059,0.17711416303733593,0.20153057191420232,0.34160102690939786,0.49397678215343943,-0.10952299657982732,41.15384615384615,51.53846153846153,48.46153846153846,0.0028256327592579285,51.53846153846153,0.08202826622699298,-0.0028256327592579285,48.46153846153846,-0.08202826622699298,0.17385365306722184,continuation,0.0028256327592579285,1.538461538461533
XAUUSD,260,0.16761220873907887,0.07537076239781909,0.2542044900314284,0.2007253744743431,0.39653211828342283,0.6218891569884635,0.026581615057248573,30.384615384615383,51.53846153846153,48.07692307692308,0.010585223845334167,51.53846153846153,0.2508049750704277,-0.010585223845334167,48.07692307692308,-0.2508049750704277,0.16761220873907887,continuation,0.010585223845334167,1.538461538461533
NZDCAD,260,0.1643530576780174,0.14478798366798776,0.12078330231583864,0.2186398093252245,0.3159811486361582,0.3561285516927951,-0.13734070438875856,47.30769230769231,46.53846153846154,53.07692307692308,-0.012356193719827886,46.53846153846154,-0.43711197454208595,0.012356193719827886,53.07692307692308,0.43711197454208595,0.1643530576780174,fade,0.012356193719827886,3.46153846153846
EURPLN,260,0.16176306059059678,0.10313266980262548,0.20330667022751386,0.1837904779280281,0.3863416064019251,0.5198083699682514,-0.13270928862683565,35.76923076923077,51.53846153846153,48.46153846153846,-0.013264686674278955,51.53846153846153,-0.36837254462841895,0.013264686674278955,48.46153846153846,0.36837254462841895,0.16176306059059678,fade,0.013264686674278955,1.538461538461533
GBPCHF,260,0.15898644635671744,0.1410428662192149,0.13303073957416053,0.21072860462628895,0.30942323742222305,0.3839257957381107,-0.13255354080070036,44.61538461538462,51.53846153846153,47.69230769230769,0.003042684012583493,51.53846153846153,0.10580291120680478,-0.003042684012583493,47.69230769230769,-0.10580291120680478,0.15898644635671744,continuation,0.003042684012583493,1.538461538461533
NZDUSD,260,0.15749221246637582,0.11415683368961285,0.15795929366449918,0.20766420731599972,0.3190282235072578,0.40272721319594584,-0.11232944114424395,38.07692307692307,44.61538461538462,55.00000000000001,-0.029308627690611513,44.61538461538462,-0.9548838963101682,0.029308627690611513,55.00000000000001,0.9548838963101682,0.15749221246637582,fade,0.029308627690611513,5.38461538461538
AUDSGD,260,0.1556619468863243,0.13005930104543384,0.13062578303860534,0.20429996592547303,0.2841902884842462,0.3714887441243191,-0.11683290822191135,43.84615384615385,54.230769230769226,45.38461538461539,0.014616106804833315,54.230769230769226,0.5194311470405696,-0.014616106804833315,45.38461538461539,-0.5194311470405696,0.1556619468863243,continuation,0.014616106804833315,4.230769230769226
CHFJPY,261,0.1529956997836201,0.11274030206624348,0.24133960007961774,0.18763613978595206,0.2840729388898152,0.3483519806471082,-0.10478506440169334,36.015325670498086,46.36015325670498,53.25670498084292,-0.030811415697271673,46.36015325670498,-0.7816922512936768,0.030811415697271673,53.25670498084292,0.7816922512936768,0.1529956997836201,fade,0.030811415697271673,3.639846743295017
